source_airport_id,target_airport_id
1,19
2,82
3,46
4,12
4,89
5,45
5,54
5,61
5,89
5,92
6,57
6,63
6,75
7,4
7,21
7,51
7,57
8,37
8,94
9,33
10,5
10,63
11,42
11,85
12,61
12,68
13,18
13,39
13,57
13,83
13,90
14,29
14,65
14,88
14,93
15,57
15,60
16,58
17,59
17,77
18,47
18,50
19,61
20,69
21,4
21,39
21,50
21,74
21,94
22,92
23,6
23,42
24,33
24,40
24,47
24,50
24,70
25,47
25,55
26,1
27,70
27,93
28,17
29,10
30,19
30,40
30,74
30,88
31,87
31,95
32,8
32,22
32,44
32,49
32,63
32,95
33,32
33,36
33,100
34,92
35,58
36,76
36,90
36,92
37,13
37,14
37,19
37,26
38,36
38,50
38,52
38,66
38,94
38,98
39,51
40,3
40,32
40,44
41,52
41,57
41,90
42,8
42,18
42,85
42,93
43,45
43,85
44,39
45,35
45,62
46,53
46,72
47,25
47,57
47,58
48,39
48,89
49,23
49,29
49,48
49,55
49,60
49,73
50,18
51,47
51,81
52,64
52,87
52,89
53,19
53,21
53,24
54,1
54,41
54,43
54,49
54,72
55,15
55,30
55,48
55,62
55,94
56,34
57,9
57,14
57,16
57,43
57,50
58,62
59,17
59,28
59,82
60,14
61,4
61,8
61,79
62,50
62,66
63,1
64,46
64,53
64,84
64,96
65,35
66,21
66,38
66,83
66,85
67,23
67,29
67,87
68,39
68,70
69,78
70,8
70,79
71,23
71,93
72,32
72,57
72,70
73,60
73,76
73,81
73,89
74,86
75,11
75,34
75,40
75,50
75,60
76,22
76,86
76,97
77,17
78,20
78,69
79,45
79,88
80,7
80,53
80,81
81,1
81,45
81,66
81,80
81,91
82,2
82,59
83,43
83,55
83,70
83,73
84,51
85,21
85,26
86,74
87,71
87,73
87,86
88,21
88,95
89,11
89,19
89,70
90,31
90,40
90,44
90,67
91,68
91,81
91,92
92,44
92,57
92,94
93,15
93,26
93,42
93,74
94,18
94,27
95,19
95,26
95,74
95,85
95,94
96,64
97,9
97,56
97,81
97,94
97,99
98,61
98,67
98,94
99,60
100,92
