airport_id,name,iata,lat,lon
1,Synthetic Airport 1,A000,43.856487,-84.60652
2,Synthetic Airport 2,A001,48.40099,-1.3148193
3,Synthetic Airport 3,A002,41.3733,-85.94789
4,Synthetic Airport 4,A003,39.01729,-105.45959
5,Synthetic Airport 5,A004,40.144093,-107.206696
6,Synthetic Airport 6,A005,41.83506,-90.44499
7,Synthetic Airport 7,A006,38.42629,-74.41636
8,Synthetic Airport 8,A007,46.05438,-91.705505
9,Synthetic Airport 9,A008,37.976524,-121.38038
10,Synthetic Airport 10,A009,37.957222,-70.75674
11,Synthetic Airport 11,A010,31.116932,-99.37042
12,Synthetic Airport 12,A011,33.09497,-97.70892
13,Synthetic Airport 13,A012,38.84724,-119.29188
14,Synthetic Airport 14,A013,34.93699,-121.68453
15,Synthetic Airport 15,A014,41.27877,-104.282364
16,Synthetic Airport 16,A015,39.227615,-88.430374
17,Synthetic Airport 17,A016,31.311022,-95.00298
18,Synthetic Airport 18,A017,35.346905,-83.76921
19,Synthetic Airport 19,A018,37.042694,-86.59607
20,Synthetic Airport 20,A019,25.626484,-85.15119
21,Synthetic Airport 21,A020,50.850925,-5.817688
22,Synthetic Airport 22,A021,40.157097,-121.06365
23,Synthetic Airport 23,A022,39.830242,-88.43947
24,Synthetic Airport 24,A023,33.455643,-94.144035
25,Synthetic Airport 25,A024,34.408092,-117.38851
26,Synthetic Airport 26,A025,39.639942,-124.92307
27,Synthetic Airport 27,A026,42.571358,-87.32652
28,Synthetic Airport 28,A027,41.441414,-85.52358
29,Synthetic Airport 29,A028,34.869812,-86.23121
30,Synthetic Airport 30,A029,38.388172,-74.795586
31,Synthetic Airport 31,A030,35.268852,-80.945724
32,Synthetic Airport 32,A031,31.554447,-100.53308
33,Synthetic Airport 33,A032,35.800568,-124.55957
34,Synthetic Airport 34,A033,41.238907,-85.80722
35,Synthetic Airport 35,A034,34.033604,-118.010506
36,Synthetic Airport 36,A035,43.395374,-90.19228
37,Synthetic Airport 37,A036,40.215958,-76.68859
38,Synthetic Airport 38,A037,48.921646,-121.38189
39,Synthetic Airport 39,A038,41.806263,-102.24516
40,Synthetic Airport 40,A039,33.730083,-116.75533
41,Synthetic Airport 41,A040,49.50691,0.3680725
42,Synthetic Airport 42,A041,49.2897,-119.317856
43,Synthetic Airport 43,A042,52.020897,0.16798401
44,Synthetic Airport 44,A043,33.39091,-124.04395
45,Synthetic Airport 45,A044,39.997623,-83.843544
46,Synthetic Airport 46,A045,40.927624,-76.24621
47,Synthetic Airport 47,A046,44.706387,-122.57787
48,Synthetic Airport 48,A047,40.611362,-88.05344
49,Synthetic Airport 49,A048,37.215454,-70.915825
50,Synthetic Airport 50,A049,33.704327,-98.5677
51,Synthetic Airport 51,A050,41.124336,-74.33154
52,Synthetic Airport 52,A051,40.993553,-77.33891
53,Synthetic Airport 53,A052,36.53565,-83.752625
54,Synthetic Airport 54,A053,25.090696,-79.396675
55,Synthetic Airport 55,A054,32.321438,-95.738945
56,Synthetic Airport 56,A055,37.68055,-86.281166
57,Synthetic Airport 57,A056,31.339874,-117.935776
58,Synthetic Airport 58,A057,35.099026,-86.195984
59,Synthetic Airport 59,A058,38.01111,-74.736336
60,Synthetic Airport 60,A059,38.09381,-122.536156
61,Synthetic Airport 61,A060,37.131363,-94.455
62,Synthetic Airport 62,A061,34.484314,-119.28906
63,Synthetic Airport 63,A062,40.430557,-87.55936
64,Synthetic Airport 64,A063,46.742634,-89.60217
65,Synthetic Airport 65,A064,39.553658,-74.92467
66,Synthetic Airport 66,A065,33.52921,-119.81888
67,Synthetic Airport 67,A066,48.058945,-122.634895
68,Synthetic Airport 68,A067,39.28907,-86.38356
69,Synthetic Airport 69,A068,35.129997,-99.2629
70,Synthetic Airport 70,A069,43.09375,-103.24823
71,Synthetic Airport 71,A070,35.158234,-86.345566
72,Synthetic Airport 72,A071,26.456623,-79.63299
73,Synthetic Airport 73,A072,40.342705,-74.89984
74,Synthetic Airport 74,A073,34.67327,-97.66478
75,Synthetic Airport 75,A074,31.321144,-123.183334
76,Synthetic Airport 76,A075,37.371758,-120.20487
77,Synthetic Airport 77,A076,42.486454,-87.42837
78,Synthetic Airport 78,A077,33.650238,-120.26702
79,Synthetic Airport 79,A078,41.493633,-74.5449
80,Synthetic Airport 80,A079,51.214993,-0.9708252
81,Synthetic Airport 81,A080,47.381065,-119.12406
82,Synthetic Airport 82,A081,42.176983,-91.24822
83,Synthetic Airport 83,A082,34.05007,-98.84323
84,Synthetic Airport 84,A083,40.772022,-105.07666
85,Synthetic Airport 85,A084,49.395298,3.1411438
86,Synthetic Airport 86,A085,33.406776,-85.694496
87,Synthetic Airport 87,A086,32.535603,-95.50042
88,Synthetic Airport 88,A087,40.718143,-70.66145
89,Synthetic Airport 89,A088,36.439117,-122.90075
90,Synthetic Airport 90,A089,42.58101,-74.17485
91,Synthetic Airport 91,A090,42.465195,-101.381355
92,Synthetic Airport 92,A091,40.6647,-123.53657
93,Synthetic Airport 93,A092,44.452606,-75.935394
94,Synthetic Airport 94,A093,36.627262,-82.82177
95,Synthetic Airport 95,A094,50.550137,-1.5380707
96,Synthetic Airport 96,A095,32.41195,-81.88333
97,Synthetic Airport 97,A096,39.846024,-72.75101
98,Synthetic Airport 98,A097,26.912777,-83.846825
99,Synthetic Airport 99,A098,32.640137,-96.533646
100,Synthetic Airport 100,A099,35.923786,-118.43693
