airport_id,name,iata,lat,lon
1,Synthetic Airport 1,A000,39.079426,-105.00727
2,Synthetic Airport 2,A001,42.645115,-87.53236
3,Synthetic Airport 3,A002,24.68167,-77.046715
4,Synthetic Airport 4,A003,41.585896,-106.24616
5,Synthetic Airport 5,A004,27.21759,-79.26889
6,Synthetic Airport 6,A005,34.60293,-86.95985
7,Synthetic Airport 7,A006,49.40446,-124.71724
8,Synthetic Airport 8,A007,47.121166,-125.89251
9,Synthetic Airport 9,A008,36.34449,-75.2424
10,Synthetic Airport 10,A009,35.354008,-81.77946
11,Synthetic Airport 11,A010,48.988995,-119.351364
12,Synthetic Airport 12,A011,32.99435,-117.10412
13,Synthetic Airport 13,A012,24.122477,-80.62789
14,Synthetic Airport 14,A013,49.748558,-120.481636
15,Synthetic Airport 15,A014,41.02596,-90.277695
16,Synthetic Airport 16,A015,39.867336,-76.873344
17,Synthetic Airport 17,A016,32.000168,-99.06781
18,Synthetic Airport 18,A017,30.433727,-81.00835
19,Synthetic Airport 19,A018,50.01982,-4.3789215
20,Synthetic Airport 20,A019,27.712532,-98.92538
21,Synthetic Airport 21,A020,40.360443,-70.74812
22,Synthetic Airport 22,A021,37.70349,-105.39136
23,Synthetic Airport 23,A022,30.039515,-85.54019
24,Synthetic Airport 24,A023,42.074116,-89.52054
25,Synthetic Airport 25,A024,24.559786,-79.2104
26,Synthetic Airport 26,A025,35.497734,-117.45539
27,Synthetic Airport 27,A026,36.75596,-122.553825
28,Synthetic Airport 28,A027,41.999302,-105.36003
29,Synthetic Airport 29,A028,39.359524,-126.98651
30,Synthetic Airport 30,A029,33.77434,-121.70139
31,Synthetic Airport 31,A030,52.77968,-1.654129
32,Synthetic Airport 32,A031,50.818474,-123.831856
33,Synthetic Airport 33,A032,52.609966,-1.4815216
34,Synthetic Airport 34,A033,44.377876,-123.662315
35,Synthetic Airport 35,A034,51.397144,2.6546173
36,Synthetic Airport 36,A035,42.1529,-86.09453
37,Synthetic Airport 37,A036,49.69969,-124.90846
38,Synthetic Airport 38,A037,37.135864,-121.330086
39,Synthetic Airport 39,A038,41.862415,-104.342445
40,Synthetic Airport 40,A039,46.96743,-122.82059
41,Synthetic Airport 41,A040,37.445717,-123.31801
42,Synthetic Airport 42,A041,36.921227,-122.10811
43,Synthetic Airport 43,A042,37.40693,-119.14342
44,Synthetic Airport 44,A043,39.32865,-106.17357
45,Synthetic Airport 45,A044,26.22684,-81.04971
46,Synthetic Airport 46,A045,31.139246,-97.70455
47,Synthetic Airport 47,A046,23.472204,-84.05281
48,Synthetic Airport 48,A047,25.367243,-80.69703
49,Synthetic Airport 49,A048,25.828579,-82.33775
50,Synthetic Airport 50,A049,50.403427,-0.3513031
51,Synthetic Airport 51,A050,40.38169,-104.28241
52,Synthetic Airport 52,A051,42.359898,-84.73979
53,Synthetic Airport 53,A052,37.00512,-119.2237
54,Synthetic Airport 54,A053,29.721794,-97.9636
55,Synthetic Airport 55,A054,37.576233,-117.32438
56,Synthetic Airport 56,A055,34.909863,-101.10216
57,Synthetic Airport 57,A056,36.026787,-104.655365
58,Synthetic Airport 58,A057,33.08429,-96.392494
59,Synthetic Airport 59,A058,49.222927,0.35916138
60,Synthetic Airport 60,A059,41.002342,-87.22695
61,Synthetic Airport 61,A060,39.372272,-75.08335
62,Synthetic Airport 62,A061,30.647305,-86.249374
63,Synthetic Airport 63,A062,48.348007,-2.0900116
64,Synthetic Airport 64,A063,50.28874,-1.4776764
65,Synthetic Airport 65,A064,37.90525,-122.06672
66,Synthetic Airport 66,A065,40.621964,-106.66664
67,Synthetic Airport 67,A066,37.52955,-124.18777
68,Synthetic Airport 68,A067,38.779457,-104.96099
69,Synthetic Airport 69,A068,27.73027,-80.84335
70,Synthetic Airport 70,A069,32.86586,-122.483765
71,Synthetic Airport 71,A070,33.565624,-121.157715
72,Synthetic Airport 72,A071,53.554195,2.9583282
73,Synthetic Airport 73,A072,36.707294,-119.125084
74,Synthetic Airport 74,A073,39.580048,-123.1657
75,Synthetic Airport 75,A074,53.719124,-2.4302673
76,Synthetic Airport 76,A075,27.432287,-79.70426
77,Synthetic Airport 77,A076,33.49906,-82.74238
78,Synthetic Airport 78,A077,35.806667,-74.15022
79,Synthetic Airport 79,A078,32.242516,-84.94924
80,Synthetic Airport 80,A079,39.70562,-74.58571
81,Synthetic Airport 81,A080,36.689186,-114.358604
82,Synthetic Airport 82,A081,31.66684,-96.2135
83,Synthetic Airport 83,A082,40.898212,-89.04018
84,Synthetic Airport 84,A083,41.576004,-73.766464
85,Synthetic Airport 85,A084,39.686264,-86.13853
86,Synthetic Airport 86,A085,47.1564,-122.28584
87,Synthetic Airport 87,A086,40.596794,-104.35861
88,Synthetic Airport 88,A087,46.45482,-122.23901
89,Synthetic Airport 89,A088,40.168163,-74.4088
90,Synthetic Airport 90,A089,38.098583,-87.07309
91,Synthetic Airport 91,A090,31.123615,-115.49115
92,Synthetic Airport 92,A091,41.116943,-87.22451
93,Synthetic Airport 93,A092,41.766026,-105.496025
94,Synthetic Airport 94,A093,40.47625,-89.76026
95,Synthetic Airport 95,A094,30.704529,-97.41797
96,Synthetic Airport 96,A095,35.66544,-123.682556
97,Synthetic Airport 97,A096,34.576862,-86.317924
98,Synthetic Airport 98,A097,37.43793,-72.75432
99,Synthetic Airport 99,A098,33.901382,-118.03159
100,Synthetic Airport 100,A099,31.808527,-95.14946
101,Synthetic Airport 101,A100,33.708527,-117.68303
102,Synthetic Airport 102,A101,35.768265,-123.33644
103,Synthetic Airport 103,A102,32.708645,-95.4182
104,Synthetic Airport 104,A103,36.27469,-117.81575
105,Synthetic Airport 105,A104,50.53779,2.0781555
106,Synthetic Airport 106,A105,32.299988,-86.513596
107,Synthetic Airport 107,A106,32.161636,-123.228874
108,Synthetic Airport 108,A107,41.226032,-73.80544
109,Synthetic Airport 109,A108,40.336273,-85.03615
110,Synthetic Airport 110,A109,38.02592,-121.624344
111,Synthetic Airport 111,A110,41.839584,-90.27024
112,Synthetic Airport 112,A111,31.715454,-86.330605
113,Synthetic Airport 113,A112,32.310368,-117.50429
114,Synthetic Airport 114,A113,48.450127,-3.597046
115,Synthetic Airport 115,A114,44.256927,-75.24223
116,Synthetic Airport 116,A115,35.453136,-118.81708
117,Synthetic Airport 117,A116,27.11817,-81.12178
118,Synthetic Airport 118,A117,53.526093,-0.045822144
119,Synthetic Airport 119,A118,36.389378,-117.01341
120,Synthetic Airport 120,A119,27.201069,-79.92441
121,Synthetic Airport 121,A120,41.600937,-107.30288
122,Synthetic Airport 122,A121,45.28441,-71.4015
123,Synthetic Airport 123,A122,30.261597,-116.55457
124,Synthetic Airport 124,A123,47.584755,-124.05648
125,Synthetic Airport 125,A124,40.488354,-88.72436
126,Synthetic Airport 126,A125,32.775578,-99.78242
127,Synthetic Airport 127,A126,42.206493,-119.77457
128,Synthetic Airport 128,A127,31.568178,-119.47436
129,Synthetic Airport 129,A128,34.294945,-96.38553
130,Synthetic Airport 130,A129,48.75689,0.32769775
131,Synthetic Airport 131,A130,38.513783,-120.07423
132,Synthetic Airport 132,A131,32.090702,-118.33043
133,Synthetic Airport 133,A132,33.410053,-119.21719
134,Synthetic Airport 134,A133,37.438057,-72.74865
135,Synthetic Airport 135,A134,40.55935,-86.157455
136,Synthetic Airport 136,A135,37.4556,-74.92315
137,Synthetic Airport 137,A136,52.384888,-0.7267761
138,Synthetic Airport 138,A137,29.26242,-100.08981
139,Synthetic Airport 139,A138,47.939167,-119.72451
140,Synthetic Airport 140,A139,32.39947,-85.816734
141,Synthetic Airport 141,A140,33.163307,-82.6566
142,Synthetic Airport 142,A141,36.659817,-116.8496
143,Synthetic Airport 143,A142,33.309967,-117.031235
144,Synthetic Airport 144,A143,36.23803,-120.66306
145,Synthetic Airport 145,A144,40.56601,-75.39436
146,Synthetic Airport 146,A145,43.27453,-87.59572
147,Synthetic Airport 147,A146,31.73007,-98.480896
148,Synthetic Airport 148,A147,43.17105,-105.011826
149,Synthetic Airport 149,A148,33.925053,-85.93502
150,Synthetic Airport 150,A149,41.20633,-83.40365
151,Synthetic Airport 151,A150,32.29089,-84.040665
152,Synthetic Airport 152,A151,39.51588,-102.795494
153,Synthetic Airport 153,A152,38.711216,-123.67503
154,Synthetic Airport 154,A153,44.052998,-84.4768
155,Synthetic Airport 155,A154,33.036057,-97.218704
156,Synthetic Airport 156,A155,39.46326,-74.10381
157,Synthetic Airport 157,A156,37.529922,-122.912735
158,Synthetic Airport 158,A157,37.78591,-90.859985
159,Synthetic Airport 159,A158,53.698032,-4.3194275
160,Synthetic Airport 160,A159,53.14151,-0.03224182
161,Synthetic Airport 161,A160,33.579464,-120.43611
162,Synthetic Airport 162,A161,43.406754,-88.3463
163,Synthetic Airport 163,A162,37.94503,-100.79733
164,Synthetic Airport 164,A163,43.529003,-105.23258
165,Synthetic Airport 165,A164,41.83806,-83.97451
166,Synthetic Airport 166,A165,25.108849,-79.65567
167,Synthetic Airport 167,A166,51.866802,-124.410416
168,Synthetic Airport 168,A167,40.428646,-86.76855
169,Synthetic Airport 169,A168,38.877457,-120.222206
170,Synthetic Airport 170,A169,38.648266,-103.14847
171,Synthetic Airport 171,A170,46.86556,-123.629776
172,Synthetic Airport 172,A171,33.589867,-86.503365
173,Synthetic Airport 173,A172,39.230633,-103.00019
174,Synthetic Airport 174,A173,54.91808,3.1866455
175,Synthetic Airport 175,A174,35.627922,-93.641266
176,Synthetic Airport 176,A175,33.362957,-119.08737
177,Synthetic Airport 177,A176,38.94681,-84.85369
178,Synthetic Airport 178,A177,38.09325,-121.82112
179,Synthetic Airport 179,A178,40.058456,-102.509514
180,Synthetic Airport 180,A179,48.8051,-121.406944
181,Synthetic Airport 181,A180,39.139606,-72.88603
182,Synthetic Airport 182,A181,43.08087,-104.60272
183,Synthetic Airport 183,A182,50.1998,-5.4878235
184,Synthetic Airport 184,A183,45.477947,-124.60915
185,Synthetic Airport 185,A184,35.525196,-96.67137
186,Synthetic Airport 186,A185,39.310547,-76.71274
187,Synthetic Airport 187,A186,33.913883,-114.35549
188,Synthetic Airport 188,A187,31.689848,-85.89701
189,Synthetic Airport 189,A188,41.524326,-86.51421
190,Synthetic Airport 190,A189,38.237095,-120.469086
191,Synthetic Airport 191,A190,28.518267,-94.725494
192,Synthetic Airport 192,A191,42.193108,-90.053894
193,Synthetic Airport 193,A192,38.600304,-104.93459
194,Synthetic Airport 194,A193,37.055992,-115.33704
195,Synthetic Airport 195,A194,41.96539,-122.13259
196,Synthetic Airport 196,A195,34.25261,-95.333984
197,Synthetic Airport 197,A196,41.32668,-109.318115
198,Synthetic Airport 198,A197,40.004833,-121.518555
199,Synthetic Airport 199,A198,53.85948,-0.055633545
200,Synthetic Airport 200,A199,37.26938,-104.833954
201,Synthetic Airport 201,A200,39.596985,-91.28039
202,Synthetic Airport 202,A201,32.886295,-85.78766
203,Synthetic Airport 203,A202,23.229273,-80.73877
204,Synthetic Airport 204,A203,39.368362,-105.34265
205,Synthetic Airport 205,A204,33.263786,-99.12261
206,Synthetic Airport 206,A205,38.410637,-102.480804
207,Synthetic Airport 207,A206,48.508537,-120.38815
208,Synthetic Airport 208,A207,36.926785,-119.02511
209,Synthetic Airport 209,A208,34.156902,-115.484215
210,Synthetic Airport 210,A209,26.765472,-82.52232
211,Synthetic Airport 211,A210,39.891037,-103.99604
212,Synthetic Airport 212,A211,25.7338,-77.01709
213,Synthetic Airport 213,A212,38.92607,-103.463455
214,Synthetic Airport 214,A213,31.796633,-118.61482
215,Synthetic Airport 215,A214,52.66505,0.6053467
216,Synthetic Airport 216,A215,44.20178,-88.041176
217,Synthetic Airport 217,A216,41.953117,-88.88318
218,Synthetic Airport 218,A217,40.11994,-106.113235
219,Synthetic Airport 219,A218,30.978947,-84.31758
220,Synthetic Airport 220,A219,40.216213,-73.988045
221,Synthetic Airport 221,A220,34.584385,-117.71534
222,Synthetic Airport 222,A221,51.313614,-2.0184784
223,Synthetic Airport 223,A222,33.784943,-83.830734
224,Synthetic Airport 224,A223,31.97894,-116.49664
225,Synthetic Airport 225,A224,38.143112,-74.91427
226,Synthetic Airport 226,A225,25.315187,-77.13546
227,Synthetic Airport 227,A226,43.59595,-75.18113
228,Synthetic Airport 228,A227,32.89025,-85.835625
229,Synthetic Airport 229,A228,34.662437,-123.56528
230,Synthetic Airport 230,A229,50.16759,-2.8451385
231,Synthetic Airport 231,A230,40.2264,-76.834564
232,Synthetic Airport 232,A231,36.32752,-120.72645
233,Synthetic Airport 233,A232,35.025635,-97.566826
234,Synthetic Airport 234,A233,38.26346,-106.31683
235,Synthetic Airport 235,A234,45.447926,-119.46495
236,Synthetic Airport 236,A235,33.120377,-84.87381
237,Synthetic Airport 237,A236,32.862087,-97.91664
238,Synthetic Airport 238,A237,45.45775,-123.48737
239,Synthetic Airport 239,A238,41.728725,-103.84085
240,Synthetic Airport 240,A239,36.725418,-122.2475
241,Synthetic Airport 241,A240,34.40371,-117.81474
242,Synthetic Airport 242,A241,47.025272,-120.72249
243,Synthetic Airport 243,A242,26.765947,-77.31374
244,Synthetic Airport 244,A243,47.176556,-124.06033
245,Synthetic Airport 245,A244,38.06097,-121.01194
246,Synthetic Airport 246,A245,53.847816,-0.33813477
247,Synthetic Airport 247,A246,41.048588,-73.24563
248,Synthetic Airport 248,A247,50.24561,-123.403275
249,Synthetic Airport 249,A248,30.344227,-95.79273
