source_airport_id,target_airport_id
1,28
1,39
2,359
2,398
3,386
4,218
5,188
5,486
6,97
7,375
7,383
8,43
8,314
8,431
9,181
9,480
10,395
10,437
11,204
12,22
12,389
12,476
13,203
13,297
14,96
14,362
15,136
15,374
15,486
16,85
16,378
16,428
16,444
16,476
17,129
17,196
17,227
17,249
17,489
18,210
18,448
19,107
20,45
20,256
20,375
20,391
20,487
21,84
21,336
21,377
21,408
22,6
22,255
22,387
22,426
22,489
22,495
23,197
23,359
23,413
24,135
24,153
24,177
24,410
25,294
26,43
26,213
26,461
27,335
28,93
29,96
29,123
29,145
29,163
30,21
30,71
31,458
32,197
32,239
32,351
33,467
34,238
35,453
36,304
36,354
37,32
37,490
38,11
39,301
40,494
41,131
41,365
42,67
43,321
44,54
44,170
44,278
44,319
44,370
44,489
45,47
46,47
46,95
46,206
46,314
46,331
46,380
46,470
47,49
48,456
49,100
50,357
51,89
51,250
51,333
52,265
52,366
53,29
53,42
53,66
53,113
53,177
53,208
53,465
54,62
54,78
54,442
54,480
55,139
55,197
55,293
55,328
55,405
55,449
55,465
56,6
56,342
57,269
58,262
58,278
58,289
58,479
59,130
60,80
60,295
60,328
60,442
61,66
61,170
62,201
62,395
63,332
64,230
64,385
65,198
65,498
66,370
67,403
68,5
69,460
70,237
71,1
71,34
71,164
71,387
72,174
73,235
73,328
74,190
74,214
74,248
75,325
76,255
76,443
77,5
77,417
77,440
77,489
78,83
78,189
78,388
79,283
79,382
80,456
81,12
81,400
82,56
82,466
83,218
83,328
83,410
83,440
84,247
84,264
84,374
85,67
85,154
85,301
85,393
85,493
86,295
87,39
87,261
87,303
88,96
88,416
89,421
89,444
90,7
90,25
90,52
90,344
90,486
91,57
92,45
92,76
92,146
92,228
92,374
92,394
93,190
93,444
94,226
94,455
95,46
95,175
95,323
95,464
96,321
97,168
97,395
97,480
98,85
98,237
98,296
98,412
99,49
99,58
99,94
99,101
99,127
99,342
99,382
99,403
100,304
100,342
100,441
101,83
101,380
102,111
102,131
102,167
102,376
102,459
103,166
103,178
103,198
103,217
103,327
103,386
103,463
104,323
105,415
106,223
106,266
106,326
106,497
107,119
107,221
107,421
107,441
107,454
108,154
108,260
108,280
108,323
108,412
108,471
109,14
109,111
109,375
109,471
110,242
110,282
110,339
111,166
111,168
111,280
111,486
112,158
112,347
112,495
113,1
113,499
114,358
115,412
116,157
116,348
116,439
116,468
117,210
117,212
118,64
118,160
119,67
119,234
120,279
121,47
121,223
122,179
122,189
123,24
123,198
124,24
125,52
125,201
125,213
125,216
125,282
125,412
125,427
125,473
126,368
126,481
127,92
127,279
128,28
128,70
128,163
128,242
128,245
128,324
128,421
129,87
129,422
130,277
131,4
131,169
131,407
132,102
133,131
133,176
134,168
134,254
135,112
135,333
135,382
135,405
136,24
137,183
137,288
138,179
138,292
138,318
138,352
138,354
139,170
140,2
140,97
140,136
140,392
140,462
141,79
141,152
141,169
142,41
142,55
142,70
142,170
143,42
143,352
143,442
144,200
144,468
145,267
146,12
146,451
146,460
147,201
147,211
147,262
147,346
147,395
148,207
149,206
149,239
149,252
149,344
149,408
150,272
150,320
150,364
150,367
150,384
151,293
152,173
153,341
153,407
153,437
154,212
154,387
155,123
155,196
155,278
155,362
155,378
156,304
157,138
157,291
158,37
158,328
158,397
158,469
159,75
160,215
160,500
161,323
161,472
162,120
162,193
162,280
162,413
163,193
163,373
164,146
164,198
165,23
165,223
165,409
166,141
166,155
166,223
166,376
167,32
168,233
168,247
169,69
169,184
169,200
169,300
169,438
169,449
169,483
170,25
170,93
170,296
171,498
172,179
172,327
173,93
173,407
174,33
175,351
175,468
176,308
176,399
177,23
177,24
178,96
178,283
179,351
180,131
181,166
181,244
181,269
181,425
181,440
182,110
183,19
183,374
184,485
185,15
185,135
185,351
185,361
185,402
186,5
186,394
187,88
187,205
187,207
187,335
188,287
188,329
188,362
188,378
188,392
188,393
189,79
189,177
189,293
189,405
189,422
190,238
191,127
191,378
192,319
192,390
192,437
193,106
194,25
194,81
194,87
194,209
194,259
194,291
194,487
195,124
195,164
195,257
195,271
195,390
195,391
195,445
196,44
196,100
196,210
196,290
196,311
196,457
197,111
197,264
198,290
199,118
199,246
200,351
201,4
201,190
201,254
201,485
202,85
202,228
203,25
203,328
204,404
205,20
205,87
205,179
205,196
205,211
