airport_id,name,iata,lat,lon
1,Synthetic Airport 1,A000,31.563208,-97.42516
2,Synthetic Airport 2,A001,53.77176,3.247284
3,Synthetic Airport 3,A002,37.287197,-122.59336
4,Synthetic Airport 4,A003,36.382362,-121.68037
5,Synthetic Airport 5,A004,38.62261,-88.210526
6,Synthetic Airport 6,A005,30.368996,-95.02658
7,Synthetic Airport 7,A006,28.846746,-78.34888
8,Synthetic Airport 8,A007,35.34117,-117.722305
9,Synthetic Airport 9,A008,40.715206,-103.67361
10,Synthetic Airport 10,A009,39.121807,-103.77459
11,Synthetic Airport 11,A010,34.964256,-120.83378
12,Synthetic Airport 12,A011,34.845295,-85.2466
13,Synthetic Airport 13,A012,36.06873,-123.7825
14,Synthetic Airport 14,A013,32.31607,-97.69672
15,Synthetic Airport 15,A014,42.172913,-90.52904
16,Synthetic Airport 16,A015,40.870396,-71.344086
17,Synthetic Airport 17,A016,40.584282,-75.88543
18,Synthetic Airport 18,A017,50.843468,0.09298706
19,Synthetic Airport 19,A018,34.15862,-99.56012
20,Synthetic Airport 20,A019,40.255505,-121.684425
21,Synthetic Airport 21,A020,26.876911,-76.97069
22,Synthetic Airport 22,A021,49.989723,-2.0942078
23,Synthetic Airport 23,A022,52.261898,0.27590942
24,Synthetic Airport 24,A023,39.978306,-104.80723
25,Synthetic Airport 25,A024,34.864857,-117.840706
26,Synthetic Airport 26,A025,55.159687,0.38734436
27,Synthetic Airport 27,A026,25.367994,-81.55803
28,Synthetic Airport 28,A027,39.833096,-105.03336
29,Synthetic Airport 29,A028,40.200947,-89.08535
30,Synthetic Airport 30,A029,32.321903,-98.6896
31,Synthetic Airport 31,A030,38.717796,-107.130104
32,Synthetic Airport 32,A031,28.995564,-78.356155
33,Synthetic Airport 33,A032,40.464046,-106.149925
34,Synthetic Airport 34,A033,36.477463,-121.04725
35,Synthetic Airport 35,A034,41.48024,-121.268425
36,Synthetic Airport 36,A035,44.79392,-124.305855
37,Synthetic Airport 37,A036,35.664124,-116.31158
38,Synthetic Airport 38,A037,53.50249,-2.1754456
39,Synthetic Airport 39,A038,38.76919,-121.121254
40,Synthetic Airport 40,A039,33.118397,-81.511475
41,Synthetic Airport 41,A040,41.715412,-89.338036
42,Synthetic Airport 42,A041,41.287292,-89.76512
43,Synthetic Airport 43,A042,39.193447,-124.26419
44,Synthetic Airport 44,A043,35.198254,-100.079834
45,Synthetic Airport 45,A044,50.447517,-1.2054596
46,Synthetic Airport 46,A045,47.75409,-124.839005
