source_airport_id,target_airport_id
1,30
1,145
1,158
2,180
3,12
3,17
3,24
3,151
4,134
5,101
6,171
7,32
8,29
8,57
8,91
8,112
8,162
9,57
10,9
10,28
10,101
10,108
11,31
11,151
12,133
12,144
13,164
13,168
14,12
14,44
14,54
14,73
14,101
15,57
15,100
15,102
15,113
15,171
16,45
16,80
16,130
16,167
16,186
17,120
18,61
19,86
19,113
20,31
20,36
20,76
20,137
20,199
21,114
22,45
23,59
24,69
25,57
25,93
25,132
25,189
26,185
27,97
27,141
28,24
28,129
29,33
29,157
29,196
30,33
30,60
30,108
31,89
32,7
33,90
33,148
34,134
35,24
35,151
36,88
36,181
36,200
37,132
37,160
37,193
38,110
38,198
39,24
39,37
39,69
39,89
39,149
40,57
40,102
41,39
41,155
42,65
42,156
42,163
42,164
43,36
43,81
44,196
45,22
46,50
47,40
47,58
47,70
47,157
48,31
49,12
49,84
50,31
50,47
50,62
50,167
50,168
51,198
52,57
52,67
53,123
53,142
53,183
54,130
54,146
55,194
56,5
56,10
56,19
56,182
57,149
57,168
58,14
58,85
59,2
59,23
59,180
59,194
60,37
60,58
60,177
61,2
61,68
61,92
62,164
62,192
63,42
64,21
64,184
65,191
66,15
66,63
66,122
66,181
67,14
67,24
67,50
67,139
67,148
67,154
68,61
69,10
69,30
69,76
69,90
69,134
70,98
70,107
70,124
71,24
71,76
71,83
72,101
73,149
74,185
75,27
75,88
75,158
76,44
76,108
77,171
78,124
79,6
79,11
79,53
79,75
79,82
79,119
79,152
79,175
80,48
80,72
81,98
82,30
82,83
82,133
83,143
83,183
84,5
84,178
85,44
85,115
85,140
86,1
87,65
88,138
88,162
88,191
89,164
90,32
90,34
90,45
90,49
90,94
91,28
91,83
91,200
92,61
93,8
94,57
94,152
94,163
94,175
95,3
95,76
95,86
95,91
95,127
95,149
95,154
96,13
96,188
97,89
98,39
98,69
98,124
98,159
99,97
99,120
99,160
100,12
101,31
101,65
102,5
102,96
102,160
103,100
103,164
104,24
104,67
104,118
104,152
104,154
105,4
105,30
105,48
105,60
105,86
105,148
106,15
106,20
106,113
107,76
107,111
107,132
107,144
107,177
107,190
108,75
108,106
108,126
108,144
108,175
109,119
110,145
111,3
111,165
111,174
111,177
112,200
113,53
114,197
115,145
115,172
116,130
117,24
117,46
117,101
117,156
117,171
118,31
118,87
118,132
118,195
119,36
119,49
119,100
119,101
120,99
120,109
120,119
121,98
121,131
122,110
123,4
123,37
123,48
123,57
123,81
123,124
123,129
123,135
123,144
124,20
124,67
125,35
125,140
125,168
126,41
126,79
126,112
126,123
126,158
127,89
127,138
128,180
129,64
130,44
130,71
130,117
130,153
131,98
131,121
132,98
133,64
133,115
133,116
133,148
134,158
134,172
135,29
135,66
136,45
136,86
136,173
137,5
137,100
137,101
137,120
137,154
137,166
137,176
137,193
138,88
138,98
138,175
139,104
139,153
139,196
140,134
141,5
141,130
141,174
142,15
142,69
143,14
143,43
144,19
144,26
144,76
145,17
145,56
146,54
147,187
148,1
148,42
148,78
148,132
148,154
148,165
149,75
149,153
150,16
150,17
150,152
150,175
151,112
152,139
152,141
152,150
153,165
154,94
154,177
155,153
156,102
157,47
157,176
157,196
158,98
158,169
159,13
159,89
159,95
160,156
160,175
160,186
160,193
161,44
161,98
161,106
161,108
161,125
162,15
162,114
162,117
163,2
163,104
164,141
165,145
166,25
166,148
167,153
168,98
168,101
168,181
169,3
169,107
169,127
170,130
171,77
171,82
171,175
172,28
172,41
172,52
172,100
172,129
172,161
173,11
173,96
173,124
173,179
174,3
174,48
174,105
175,12
175,183
176,69
176,78
177,42
177,104
177,108
178,12
178,69
178,101
178,102
178,118
179,57
179,82
180,2
180,128
181,9
182,29
182,89
182,130
182,141
182,191
183,49
183,129
183,157
184,3
184,49
184,89
185,18
185,74
186,15
187,96
187,107
187,136
187,147
188,8
188,19
188,118
189,29
189,44
189,116
189,126
189,154
189,176
189,196
190,103
190,106
190,144
190,168
191,79
191,157
192,80
192,173
193,98
194,22
194,55
195,93
195,100
195,112
195,124
196,88
196,100
196,117
197,87
197,170
198,38
198,51
198,185
199,8
199,160
200,112
