airport_id,name,iata,lat,lon
1,Synthetic Airport 1,A000,39.622272,-103.093834
2,Synthetic Airport 2,A001,39.97397,-105.11329
3,Synthetic Airport 3,A002,36.269733,-107.144714
4,Synthetic Airport 4,A003,31.184223,-97.00102
5,Synthetic Airport 5,A004,34.6876,-119.289856
6,Synthetic Airport 6,A005,53.172997,1.2304077
7,Synthetic Airport 7,A006,34.177677,-84.089035
8,Synthetic Airport 8,A007,34.111458,-119.54035
9,Synthetic Airport 9,A008,52.78495,0.47373962
10,Synthetic Airport 10,A009,53.309525,5.418396
11,Synthetic Airport 11,A010,36.31762,-98.833534
12,Synthetic Airport 12,A011,40.688423,-102.37346
13,Synthetic Airport 13,A012,32.705803,-117.19
14,Synthetic Airport 14,A013,41.507877,-73.94651
15,Synthetic Airport 15,A014,35.86747,-106.16391
16,Synthetic Airport 16,A015,42.014656,-87.83742
17,Synthetic Airport 17,A016,39.68656,-73.30822
18,Synthetic Airport 18,A017,37.518116,-120.80719
19,Synthetic Airport 19,A018,40.788822,-103.2322
20,Synthetic Airport 20,A019,40.698486,-73.10681
21,Synthetic Airport 21,A020,29.955318,-98.376595
22,Synthetic Airport 22,A021,39.10276,-104.03671
23,Synthetic Airport 23,A022,49.831825,-1.3587646
24,Synthetic Airport 24,A023,33.570274,-86.488754
25,Synthetic Airport 25,A024,48.145718,-120.48414
26,Synthetic Airport 26,A025,49.517452,-1.7559662
27,Synthetic Airport 27,A026,35.38883,-120.77512
28,Synthetic Airport 28,A027,36.227272,-84.23122
29,Synthetic Airport 29,A028,50.91223,-4.2937927
30,Synthetic Airport 30,A029,39.064228,-122.48582
31,Synthetic Airport 31,A030,29.920784,-96.11974
32,Synthetic Airport 32,A031,32.545628,-85.24757
33,Synthetic Airport 33,A032,49.36573,-121.81138
34,Synthetic Airport 34,A033,30.097248,-80.09313
35,Synthetic Airport 35,A034,32.615936,-81.55661
36,Synthetic Airport 36,A035,32.13737,-116.52347
37,Synthetic Airport 37,A036,49.737835,-121.09027
38,Synthetic Airport 38,A037,44.25569,-88.92633
39,Synthetic Airport 39,A038,32.68326,-118.67292
40,Synthetic Airport 40,A039,51.70648,-1.0131531
41,Synthetic Airport 41,A040,20.55871,-80.2198
42,Synthetic Airport 42,A041,42.331444,-73.53265
43,Synthetic Airport 43,A042,48.139984,-123.918724
44,Synthetic Airport 44,A043,43.284653,-70.54031
45,Synthetic Airport 45,A044,32.834072,-124.455444
46,Synthetic Airport 46,A045,34.325603,-83.69431
47,Synthetic Airport 47,A046,46.733215,-120.23308
48,Synthetic Airport 48,A047,42.215034,-122.36177
49,Synthetic Airport 49,A048,32.243736,-85.76376
50,Synthetic Airport 50,A049,51.29755,-0.38746643
51,Synthetic Airport 51,A050,53.064926,3.4314117
52,Synthetic Airport 52,A051,40.2365,-103.42149
53,Synthetic Airport 53,A052,40.92944,-88.48652
54,Synthetic Airport 54,A053,33.777996,-95.87019
55,Synthetic Airport 55,A054,40.412487,-74.17084
56,Synthetic Airport 56,A055,24.482885,-84.04011
57,Synthetic Airport 57,A056,35.56814,-121.8903
58,Synthetic Airport 58,A057,33.926388,-82.34152
59,Synthetic Airport 59,A058,40.94309,-71.46715
60,Synthetic Airport 60,A059,37.613144,-118.53901
61,Synthetic Airport 61,A060,41.05981,-90.73328
62,Synthetic Airport 62,A061,45.172733,-85.508705
63,Synthetic Airport 63,A062,52.162125,-0.76423645
64,Synthetic Airport 64,A063,36.28897,-116.93314
65,Synthetic Airport 65,A064,49.64961,1.8076019
66,Synthetic Airport 66,A065,49.713192,0.22291565
67,Synthetic Airport 67,A066,33.01638,-84.55262
68,Synthetic Airport 68,A067,39.406715,-123.63977
69,Synthetic Airport 69,A068,40.2026,-105.54483
70,Synthetic Airport 70,A069,39.122894,-122.32238
71,Synthetic Airport 71,A070,42.606117,-88.84007
72,Synthetic Airport 72,A071,27.850462,-79.56696
73,Synthetic Airport 73,A072,42.36821,-91.83018
74,Synthetic Airport 74,A073,39.58832,-75.81595
75,Synthetic Airport 75,A074,33.927895,-97.11754
76,Synthetic Airport 76,A075,34.12167,-119.81546
77,Synthetic Airport 77,A076,45.470875,-89.00227
78,Synthetic Airport 78,A077,39.536655,-106.97211
79,Synthetic Airport 79,A078,40.074146,-103.35154
80,Synthetic Airport 80,A079,33.32872,-115.16766
81,Synthetic Airport 81,A080,35.952923,-86.46768
82,Synthetic Airport 82,A081,43.723434,-85.63409
83,Synthetic Airport 83,A082,43.276398,-90.84745
84,Synthetic Airport 84,A083,48.976616,-0.20523071
85,Synthetic Airport 85,A084,36.82301,-108.71443
86,Synthetic Airport 86,A085,41.171047,-72.84046
87,Synthetic Airport 87,A086,42.085377,-73.77088
88,Synthetic Airport 88,A087,54.4284,-0.21009827
89,Synthetic Airport 89,A088,38.382816,-85.51017
90,Synthetic Airport 90,A089,39.515488,-103.52804
91,Synthetic Airport 91,A090,44.06927,-122.40527
92,Synthetic Airport 92,A091,45.528744,-123.99379
93,Synthetic Airport 93,A092,40.199097,-73.72477
94,Synthetic Airport 94,A093,27.721941,-81.72324
95,Synthetic Airport 95,A094,38.802864,-105.57038
96,Synthetic Airport 96,A095,31.463444,-94.13497
97,Synthetic Airport 97,A096,46.81054,-120.60963
98,Synthetic Airport 98,A097,43.15663,-73.2576
99,Synthetic Airport 99,A098,45.473125,-72.57743
100,Synthetic Airport 100,A099,37.55728,-76.72322
101,Synthetic Airport 101,A100,41.427204,-87.75485
102,Synthetic Airport 102,A101,46.5896,-125.75567
103,Synthetic Airport 103,A102,44.311806,-89.304184
104,Synthetic Airport 104,A103,38.492634,-121.706764
105,Synthetic Airport 105,A104,42.937557,-103.98949
106,Synthetic Airport 106,A105,39.949947,-86.57883
107,Synthetic Airport 107,A106,33.668247,-84.19559
108,Synthetic Airport 108,A107,50.55889,-0.43669128
109,Synthetic Airport 109,A108,23.603067,-80.38048
110,Synthetic Airport 110,A109,40.325233,-71.058685
111,Synthetic Airport 111,A110,30.5308,-94.534164
112,Synthetic Airport 112,A111,51.79544,-125.319435
113,Synthetic Airport 113,A112,52.304585,-0.29756165
114,Synthetic Airport 114,A113,45.41728,-119.83266
115,Synthetic Airport 115,A114,46.238102,-122.92995
116,Synthetic Airport 116,A115,45.439476,-87.58187
117,Synthetic Airport 117,A116,41.017963,-89.230644
118,Synthetic Airport 118,A117,43.36241,-90.435196
119,Synthetic Airport 119,A118,41.80861,-73.64564
120,Synthetic Airport 120,A119,42.04156,-105.63554
121,Synthetic Airport 121,A120,41.910732,-74.25517
122,Synthetic Airport 122,A121,37.201073,-125.43798
123,Synthetic Airport 123,A122,39.4583,-76.27242
124,Synthetic Airport 124,A123,29.348248,-97.4934
125,Synthetic Airport 125,A124,33.545395,-85.51711
126,Synthetic Airport 126,A125,42.251606,-87.02055
127,Synthetic Airport 127,A126,50.74961,-2.7827606
128,Synthetic Airport 128,A127,40.354027,-72.59454
129,Synthetic Airport 129,A128,31.212795,-83.53258
130,Synthetic Airport 130,A129,37.98304,-84.49408
131,Synthetic Airport 131,A130,40.972176,-86.87725
132,Synthetic Airport 132,A131,49.399208,-0.887146
133,Synthetic Airport 133,A132,32.747578,-119.07285
134,Synthetic Airport 134,A133,47.11326,-122.648125
135,Synthetic Airport 135,A134,34.3836,-99.86303
136,Synthetic Airport 136,A135,29.086891,-118.78453
137,Synthetic Airport 137,A136,38.652813,-121.091225
138,Synthetic Airport 138,A137,46.218502,-125.82889
139,Synthetic Airport 139,A138,51.11153,0.6017151
140,Synthetic Airport 140,A139,49.485123,-123.896675
141,Synthetic Airport 141,A140,34.433193,-98.075096
142,Synthetic Airport 142,A141,39.28494,-73.92455
143,Synthetic Airport 143,A142,37.435833,-122.21045
144,Synthetic Airport 144,A143,45.72223,-85.51191
145,Synthetic Airport 145,A144,35.625996,-97.65915
146,Synthetic Airport 146,A145,35.683125,-115.31637
147,Synthetic Airport 147,A146,32.923054,-97.285446
148,Synthetic Airport 148,A147,53.401558,0.19132996
149,Synthetic Airport 149,A148,41.442177,-72.750015
150,Synthetic Airport 150,A149,31.809366,-98.68626
151,Synthetic Airport 151,A150,35.627228,-124.92117
152,Synthetic Airport 152,A151,52.52412,-0.5341797
153,Synthetic Airport 153,A152,34.714607,-117.308174
154,Synthetic Airport 154,A153,36.364716,-116.97259
155,Synthetic Airport 155,A154,36.66331,-123.37091
156,Synthetic Airport 156,A155,50.26389,-119.05796
