source_airport_id,target_airport_id
1,8
1,11
1,33
1,44
1,46
1,54
2,24
2,29
2,51
3,6
3,27
3,30
3,33
3,34
3,36
3,41
3,53
3,55
3,66
4,1
4,38
4,42
4,67
4,73
4,74
5,25
5,57
6,1
6,8
6,19
6,20
6,33
6,36
6,53
7,32
7,60
8,19
8,22
8,27
8,28
8,35
8,37
8,43
8,46
8,54
9,6
9,15
9,27
9,61
10,4
10,6
10,21
10,24
10,37
10,39
10,40
10,45
10,62
10,66
10,71
11,19
11,28
11,29
11,36
11,55
11,61
12,71
13,31
14,19
14,32
14,34
14,56
15,57
16,2
16,3
16,6
16,26
16,34
16,40
16,43
16,49
17,34
17,38
17,40
17,60
17,68
18,52
19,6
19,7
19,20
19,28
19,37
19,54
20,7
20,19
20,30
20,35
20,37
20,44
20,46
20,75
21,1
21,4
21,23
21,30
21,34
21,43
22,20
22,29
22,37
22,46
22,63
23,43
23,73
24,27
24,40
24,42
24,43
24,49
24,51
24,61
24,66
24,70
24,73
25,5
25,58
25,59
26,9
26,39
26,48
26,49
26,52
26,62
27,8
27,26
27,28
27,29
27,35
27,36
27,48
27,53
28,27
28,61
28,62
29,7
29,11
29,18
29,44
29,53
29,69
29,75
30,7
30,8
30,11
30,22
30,62
30,65
31,1
31,4
31,14
31,18
31,33
31,38
31,54
31,63
31,65
32,22
32,33
32,44
32,65
33,11
33,19
33,58
34,11
34,23
34,26
34,28
34,44
34,56
34,62
35,3
35,11
35,33
35,36
35,37
35,61
35,63
35,68
36,14
36,22
36,35
36,37
36,46
36,49
37,2
37,14
37,62
38,2
38,24
38,26
38,32
38,34
38,35
38,50
38,63
39,2
39,24
39,42
39,66
39,70
40,48
40,49
40,71
41,10
41,34
41,37
41,38
41,60
41,67
41,72
42,16
42,40
42,53
42,66
42,67
42,73
43,4
43,17
43,26
44,18
44,28
44,33
44,36
44,54
44,63
44,65
45,46
45,62
46,7
47,1
47,2
47,14
47,23
47,26
47,28
47,29
47,31
47,38
47,41
47,43
47,56
47,65
48,14
48,19
48,20
48,22
48,34
48,38
48,42
48,45
48,47
48,52
49,2
49,24
49,26
49,27
49,37
49,42
50,3
50,6
50,23
50,26
50,48
50,51
50,54
50,74
51,4
51,14
51,22
51,32
51,53
51,73
52,17
53,19
53,30
53,60
54,2
54,28
54,31
54,38
54,46
54,70
55,22
55,31
56,6
56,30
56,31
56,39
56,63
57,15
58,20
59,13
60,1
60,8
60,14
60,23
60,52
60,70
61,11
61,16
61,27
61,64
62,22
62,32
62,34
62,46
62,59
63,6
63,8
63,14
63,31
63,33
63,37
63,55
64,6
64,8
64,68
64,69
65,32
65,36
65,54
65,55
65,63
65,64
65,68
66,19
66,26
66,43
66,52
67,34
68,6
68,9
68,20
68,33
68,62
68,63
69,6
69,29
69,33
69,34
70,12
70,42
71,26
72,36
72,41
73,14
73,23
73,35
73,45
73,46
73,50
73,66
74,8
74,28
74,44
74,46
74,56
74,62
74,63
74,65
75,11
75,22
75,44
75,53
75,62
