airport_id,name,iata,lat,lon
1,Synthetic Airport 1,A000,24.993074,-79.03022
2,Synthetic Airport 2,A001,25.067646,-81.32738
3,Synthetic Airport 3,A002,35.39118,-125.10885
4,Synthetic Airport 4,A003,36.752415,-122.455826
5,Synthetic Airport 5,A004,24.54514,-79.30285
6,Synthetic Airport 6,A005,37.982353,-103.969185
7,Synthetic Airport 7,A006,38.37265,-121.14602
8,Synthetic Airport 8,A007,31.411291,-94.72458
9,Synthetic Airport 9,A008,47.975197,-123.37365
10,Synthetic Airport 10,A009,43.614853,-73.42156
11,Synthetic Airport 11,A010,45.37994,-87.42186
12,Synthetic Airport 12,A011,42.042286,-90.83861
13,Synthetic Airport 13,A012,36.017944,-116.26661
14,Synthetic Airport 14,A013,41.174614,-74.46728
15,Synthetic Airport 15,A014,37.721718,-96.586235
16,Synthetic Airport 16,A015,45.305397,-87.35246
17,Synthetic Airport 17,A016,35.914295,-86.098076
18,Synthetic Airport 18,A017,25.519209,-78.69773
19,Synthetic Airport 19,A018,33.17592,-82.53396
20,Synthetic Airport 20,A019,48.582886,-122.01745
21,Synthetic Airport 21,A020,33.91372,-124.23149
22,Synthetic Airport 22,A021,25.338531,-77.62115
23,Synthetic Airport 23,A022,35.072056,-84.77389
24,Synthetic Airport 24,A023,37.388977,-106.01545
25,Synthetic Airport 25,A024,47.491405,-1.6729279
26,Synthetic Airport 26,A025,31.935034,-120.62207
27,Synthetic Airport 27,A026,37.566517,-105.46273
28,Synthetic Airport 28,A027,32.76378,-95.86349
29,Synthetic Airport 29,A028,31.922165,-86.688934
30,Synthetic Airport 30,A029,47.084736,-121.94434
31,Synthetic Airport 31,A030,35.82091,-105.91644
32,Synthetic Airport 32,A031,54.44986,-1.0254211
33,Synthetic Airport 33,A032,34.462097,-85.22095
34,Synthetic Airport 34,A033,38.145283,-104.11791
35,Synthetic Airport 35,A034,41.300377,-71.81586
36,Synthetic Airport 36,A035,35.39698,-97.11877
37,Synthetic Airport 37,A036,39.336323,-120.643654
38,Synthetic Airport 38,A037,40.484573,-70.86744
