source_airport_id,target_airport_id
1,4
1,22
1,110
1,138
2,179
3,42
3,53
3,100
3,166
3,176
3,235
4,37
4,46
4,67
4,68
4,107
4,128
4,150
5,88
5,176
5,179
5,196
6,8
6,31
6,58
6,60
6,115
6,121
6,159
6,174
6,175
6,201
7,25
7,55
7,67
7,68
7,89
7,128
7,149
7,186
7,208
8,45
8,55
8,77
8,106
8,115
8,151
8,215
8,225
8,227
9,6
9,87
9,94
9,105
9,228
10,12
10,16
10,60
10,97
10,107
10,109
10,227
11,17
11,22
11,34
11,90
11,128
11,189
11,198
12,47
12,53
12,54
12,58
12,158
12,175
12,199
12,200
12,203
12,214
12,217
12,224
12,248
13,11
13,34
13,42
13,103
13,105
13,134
13,163
13,191
13,216
13,220
13,240
14,101
14,116
14,124
14,167
14,181
14,193
14,232
14,237
15,8
15,11
15,24
15,34
15,60
15,64
15,73
15,122
15,140
16,15
16,33
16,48
16,50
16,83
16,99
16,127
16,135
16,166
16,175
16,227
16,233
17,247
18,22
18,41
18,107
18,112
18,176
19,11
19,106
19,108
19,171
19,181
19,199
20,89
20,156
20,218
21,22
21,50
21,125
21,128
21,149
21,157
21,174
21,179
21,212
22,2
22,162
22,175
22,185
22,194
23,10
23,31
23,58
23,73
23,156
23,180
24,89
24,118
24,129
24,130
24,228
25,177
26,76
26,78
26,79
26,148
26,149
27,87
27,104
27,153
27,187
27,225
28,6
28,59
28,76
28,110
28,148
28,173
28,242
29,12
29,48
29,65
29,156
29,212
29,227
29,237
30,145
30,174
30,213
30,248
30,249
31,24
31,99
31,136
31,148
31,166
31,198
32,205
33,41
33,107
33,158
33,167
33,170
33,183
33,193
33,230
34,9
34,27
34,89
34,113
34,116
34,133
34,188
34,203
34,218
35,106
35,108
35,112
35,201
36,27
36,47
36,81
36,86
36,106
36,110
36,138
36,152
36,215
37,3
37,158
37,186
38,192
38,196
39,13
39,24
39,100
40,30
40,60
40,108
40,122
40,124
40,180
41,109
41,110
42,26
42,45
42,92
42,148
42,200
43,243
44,5
44,40
44,156
44,188
44,244
44,246
45,41
45,122
45,130
45,138
45,140
45,180
45,182
45,209
45,213
45,220
46,47
46,94
46,105
46,207
46,233
47,6
47,178
47,209
47,217
47,231
47,244
48,29
48,52
48,70
48,90
48,167
48,192
48,201
48,203
48,224
49,15
49,73
49,81
49,121
49,141
49,166
49,189
49,244
50,34
50,69
50,138
50,192
50,198
51,39
51,46
51,48
51,52
51,67
51,107
51,115
51,144
51,170
51,185
51,201
51,210
51,231
51,248
52,24
52,48
52,60
52,66
52,108
52,156
52,157
52,162
52,173
52,179
52,203
52,204
52,244
53,63
53,190
53,206
54,12
54,33
